,E_l0m,l0m,E_l0,l0,E_l1,l1,E_l1m,l1m,E_l2m,l2m,E_s0,s0,E_s1,s1,E_s2,s2
20,2.0686274391833397,4.414279348139934e-20,,,,,0.12881891395819065,6.228629858982598e-22,0.21781387416979456,6.364119381231064e-23,0.13125814820244394,3.48382294181355e-21,0.25308048368331937,7.087079258328211e-21,7.984363963941766,4.915738648921725e-23
21,2.590848123313865,3.4838229418135504e-20,,,,,0.13125814820244394,4.414279348139934e-22,0.29405716906469187,7.398758952977442e-23,0.1414857922440987,2.7494912153714636e-21,0.31107971358844694,7.087079258328211e-21,8.606506159611492,6.644004325811306e-23
22,3.0673385356886302,2.6909556617651495e-20,,,,,0.13374357025806374,3.196486666459636e-22,0.41216516443717166,8.601603892866365e-23,0.15251037502117915,2.2171465104773038e-21,0.38237080472534474,6.78852936459214e-21,9.104724362425417,8.788712009482782e-23
23,3.700224768617656,1.990973229455024e-20,,,,,0.13374357025806374,2.078533408421838e-22,0.5777112094082205,1.0217527008854235e-22,0.17067866059706754,1.826763152870819e-21,0.46999989365985334,6.50255616653011e-21,9.631783696938045,1.1378231519260376e-22
24,4.1410258635063455,1.4730731006568768e-20,,,,,0.1772035855117119,1.8267631528708337e-22,0.8250816815252557,1.1878630004490226e-22,0.1910113012256608,1.5051164191978292e-21,0.5997967018215691,6.0960248537488915e-21,,
25,4.548216616634849,1.0217527008854236e-20,,,,,0.2392317059796972,1.7125563081073052e-22,1.0931922336467805,1.3515780232272272e-22,0.21376613261603591,1.267079131708692e-21,0.7654386487508308,5.593241243560759e-21,,
26,4.811506303149236,7.55970194340491e-21,,,,,0.3353190665180299,1.57130930470786e-22,1.50379767615988,1.473073100656877e-22,0.2483773655088924,1.0217527008854234e-21,1.0141681785985461,5.022669241382635e-21,,
27,5.090037449090001,5.2435591113016584e-21,,,,,0.45269373133155905,1.380978495689801e-22,2.0686274391833397,1.6054895260116528e-22,0.2832295046965057,8.239253221373973e-22,1.3437224474625487,4.320301129925703e-21,,
28,5.384692360515247,3.716151901752419e-21,,,,,0.6111540763694417,1.1378231519260376e-22,2.845608521666093,1.6760966784068688e-22,0.3290876686124285,6.50255616653011e-22,1.7803654797272777,3.6370365339206855e-21,,
29,5.486653521318084,2.522720630833122e-21,,,,,0.7512141286773932,9.374813069860569e-23,3.9144254326315244,1.6760966784068688e-22,0.38237080472534474,5.131925863036849e-22,2.2298150331918696,3.128434760866936e-21,,
