,E,HIso,HeIso,sigmaMF,sigmaModMF,sigmaR2,sigmaHFD_B
208,1.5448942804857973e-05,D,3He,122.06439620075902,119.13993320916043,93.3358705622837,116.04609778538656
209,1.851957504733548e-05,D,3He,122.06146878187926,119.13709517122349,93.33365387327432,116.04333763215217
210,2.2200526227985094e-05,D,3He,122.05795970710066,119.13369329177848,93.33099669347119,116.04002900269849
211,2.661310335359801e-05,D,3He,122.05375339629443,119.129615553611,93.32781146068523,116.03606294104816
212,3.190272441454515e-05,D,3He,122.04871140865644,119.12472775306239,93.32399343963283,116.03130885996816
213,3.824371068445175e-05,D,3He,122.04266777312074,119.1188690853847,93.3194169181839,116.02561025102483
214,4.584503153747037e-05,D,3He,122.03542364894294,119.11184683682089,93.31393097439275,116.01877955341479
215,5.4957191105572863e-05,D,3He,122.02674081480187,119.1034301303357,93.30735548510522,116.01059200018075
216,6.588048372801077e-05,D,3He,122.01633366810252,119.09334235735643,93.2994738952215,116.00077825831438
217,7.897489025410862e-05,D,3He,122.00386022072436,119.08125221278753,93.29002693973406,115.98901561523752
218,9.467194133543785e-05,D,3He,121.98891071836357,119.0667627940041,93.27870439268862,115.97491744325919
219,0.00011348893866622744,D,3He,121.97099436342107,119.04939892668732,93.26513394019128,115.95802058624905
220,0.00013604600283786055,D,3He,121.94952352600586,119.02859163450569,93.24887014471658,115.93777028683913
221,0.00016308650962533857,D,3He,121.92379451082506,119.003659878999,93.22937925747384,115.91350219152648
222,0.0001955015881905341,D,3He,121.89296517822724,118.97378873726589,93.2060222026505,115.88442083941386
223,0.00023435948854890962,D,3He,121.85602735798784,118.93800338563891,93.1780341959608,115.84957402564298
224,0.000280940786114626,D,3He,121.81177535392784,118.8951381952048,93.14449967126674,115.80782223072006
225,0.00033678058350188,D,3He,121.75876731232155,118.84380008599484,93.10432385609906,115.75780224345223
226,0.000403719100357291,D,3He,121.69527993785425,118.78232510785492,93.05619490551615,115.69788390237507
227,0.0004839623184285809,D,3He,121.61925462128727,118.70872702012383,92.99854729623135,115.6261144232342
228,0.0005801546804485677,D,3He,121.52823388777944,118.6206368305028,92.92951571301496,115.54017939795915
229,0.0006954662386510765,D,3He,121.4192864930789,118.51523157141337,92.84686056971302,115.43728744162863
230,0.0008336971249279699,D,3He,121.28891913761728,118.38915085496646,92.74792016547191,115.31412921067817
231,0.0009994027854770939,D,3He,121.13297328261898,118.23839963389675,92.62951973390093,115.16675643448434
232,0.001198044107091852,D,3He,120.94650476924839,118.0582348261391,92.48787813611568,114.99047043703169
233,0.0014361673825556995,D,3He,120.72364972025821,117.84303449194148,92.31850713408214,114.77968760180259
234,0.0017216200459627613,D,3He,120.45744246575023,117.586152074293,92.11607267810787,114.52778876539125
235,0.0020638092875959503,D,3He,120.13965582109323,117.2797263820977,91.87426205694698,114.22692598245544
236,0.0024740120711044702,D,3He,119.76057352502647,116.91450917943884,91.58561778040084,113.86784295060478
237,0.0029657467697029477,D,3He,119.3087489514438,116.47962588915395,91.24135478284623,113.4396386543764
238,0.0035552186687904178,D,3He,118.77075098818723,115.96234946627582,90.83116178924935,112.92952015334345
239,0.0042618540166805665,D,3He,118.13084499874994,115.22451628392598,90.34298774646108,112.3225612366283
240,0.00510894022326789,D,3He,117.37068805282667,114.61869440116263,89.76282071070807,111.60140221083539
241,0.006124393304596119,D,3He,116.46906183020538,113.75499001431928,89.07447019641711,110.7460033188751
242,0.00734167786472749,D,3He,115.40138743829274,112.66699578609122,88.2593710710961,109.7333984049016
243,0.008800909933230376,D,3He,114.10932792919296,111.43639816121657,87.29643175931095,108.45351661247565
244,0.010550179002672452,D,3He,112.61430123916404,109.98718816858059,86.16196332675116,107.06796934241846
245,0.012647132834317702,D,3He,110.85978277528402,108.28611441251545,84.77215764707812,105.44068445622565
246,0.015160877259841776,D,3He,108.80945883520882,106.2970965523454,83.23263900037271,103.539110809004
247,0.018174253587681845,D,3He,106.42274484237402,103.98372799782048,81.43897287564145,101.29600837219837
248,0.021786568666727252,D,3He,103.6624425401016,101.30211988776239,79.36157572519531,98.69193954264087
249,0.02611686757753466,D,3He,100.48946111218817,98.2197282287938,76.93024541826951,95.67591259790244
250,0.03130785680372791,D,3He,96.86802397423877,94.68077926316622,74.16895363561949,92.2428238244312
251,0.037530607173039035,D,3He,92.77002316402108,90.69006899548033,71.01682714887686,88.36591446120003
252,0.04499019155502361,D,3He,88.18457468732817,86.2185785893007,67.4970482212887,84.01580314495543
253,0.05393244310770938,D,3He,83.10209454436095,81.26335256453244,63.58939438751756,79.19210913113955
254,0.06465205679351049,D,3He,77.54547780354002,75.8403525626825,59.31054242110649,73.91341654097388
255,0.07750230115264002,D,3He,71.55957579574527,69.99847720540976,54.69155112241609,68.21482248127788
256,0.09290666038883737,D,3He,65.21884723223286,63.80582255450021,49.79033340600346,62.17750610765654
257,0.11137279043633574,D,3He,58.63363430554687,57.37684581323197,44.69919690514384,55.90193723756899
258,0.13350924893503416,D,3He,52.108662096197286,50.835764670760305,39.53689045379633,49.52445307992864
259,0.1600455504559356,D,3He,45.4819000544711,44.37076874461078,34.4499005403546,43.21882261434175
260,0.1918562079036751,D,3He,39.138732849191115,38.181943469207795,29.612312681998546,37.18440957480244
261,0.22998955238879043,D,3He,33.30724600082455,32.49766310023903,25.22425542930157,31.647988877167087
262,0.27570228133849695,D,3He,28.228293722833396,27.546554892938847,21.494361239191914,26.839140989745996
263,0.33050087339078826,D,3He,24.12866630966335,23.560129830592274,18.616966813202694,22.989071367287796
264,0.396191234913883,D,3He,21.198430164924552,20.723489953696088,16.76585970107077,20.273969950068377
265,0.4749382142690658,D,3He,19.562427706575104,19.14823805853133,16.047241568931888,18.824456523720663
266,0.5693369451298401,D,3He,19.243028528613305,18.893003990925276,16.47655108524036,18.658276662841335
267,0.6824983700009065,D,3He,20.126148975050082,19.812733048390882,17.941886138943353,19.66261805156439
268,0.8181517623938234,D,3He,21.93764567116391,21.661113180179658,20.192624806671944,21.56830585990879
269,0.9807676263127636,D,3He,24.240724233971658,24.040085792499728,22.855832529746316,23.975248172187523
270,1.175705023245006,D,3He,26.646539223985474,26.461220711159545,25.520916782492165,26.440718500386577
271,1.409388181867592,D,3He,28.77275047831765,28.573030901312507,27.8490287474483,28.585615369425817
